Index,Hora,Dia,PI0102,FC0104,FC0105,FC0108,TI0201,TC0202,TI0203,TI0204,TI0205,TI0210,TI0211,TI0212,TC0213,PI0214,PI0215,PI0216,FI0219,LC0301,PI0302,FI0446,FC0501,TC0508,PI0509,TC0510,PI0511,TC0512,TI0513,FC0619,FC0629,PI0640
1,6,1,93.52,1049.82,60,3.15,1230.4,1216.69,784.57,601.98,441.78,119.36,463.63,560.93,718.08,-25.24,-182.87,-491.07,52.21,55.98,0.12,170.4,733.74,50.44,-540.69,36.89,-620.73,5.31,-588.65,1616.37,580,-626.17
2,7,1,98.14,1049.83,59.99,3.15,1218.01,1208.4,792.12,620.63,456.9,119.38,478.17,569.03,728.36,-20.55,-178.92,-486.92,57.96,55.76,0.12,169.23,733.06,50.8,-535.52,36.1,-614.63,4.85,-582.42,1626.28,580,-621.67
3,8,1,110.69,1049.83,60.01,3.15,1216.81,1207.52,793.09,624.98,459.37,120.03,477.31,569.69,729.24,-11.54,-172.12,-483.44,60.48,55.37,0.12,170.22,736.77,51.3,-532.51,36.28,-611.92,5.1,-579.86,1627.73,580.02,-618.84
4,9,1,104.55,1066.48,60.97,3.2,1215.49,1206.01,792.47,624.58,459.99,119.85,477.36,569.08,729.54,-16.38,-175.52,-484.8,59.53,55.41,0.13,171.19,737.07,51.2,-533.42,35.86,-613.88,4.67,-580.8,1625.94,580.01,-620.21
5,10,1,110.55,1067.33,60.99,3.2,1215.46,1205.76,791.83,623.8,460.19,120.28,475.85,569.41,726.87,-11.17,-171.93,-483.57,57.3,55.38,0.13,173.64,738.09,51.42,-533.11,37.27,-655.52,5.51,-581.97,1630.64,580.02,-621.09
6,11,1,128.5,1064.42,60.86,3.19,1216.14,1207.5,793.32,625.51,460.78,120.35,472.24,570.73,722.55,3.78,-161.18,-481.06,56.12,55.5,0.14,178.54,738.97,51.82,-533.01,36.95,-557.66,5.68,-583.44,1637.95,580.01,-621.62
7,12,1,123.65,1073.18,61.35,3.22,1218.51,1209.28,794.87,681.56,462.32,120.34,475.71,570.45,725.95,0.19,-163.24,-479.87,58.3,55.69,0.14,178.24,740.15,51.96,-530.84,36.95,-555.17,5.97,-582.38,1638.03,582.69,-620.08
8,13,1,126.8,1079.89,61.73,3.24,1221.02,1211.44,795.66,688.37,463.36,120.35,475.33,570.75,727.17,2.61,-161.29,-479.16,59.44,55.67,0.16,179.35,743.35,52.29,-530.51,35.58,-554.01,5.09,-581.47,1652.01,598.1,-619.25
9,14,1,120.59,1079.92,61.7,3.24,1218.82,1209.51,795.63,687.43,462.48,119.64,476.4,570.24,728.49,-3.36,-165.74,-480.79,59.59,55.7,0.14,176.61,748.04,52.41,-531.46,35.18,-554.6,4.71,-582.02,1648.82,599.99,-619.34
10,15,1,119.46,1080.44,61.71,3.24,1219.51,1210.64,795.55,681.74,459.38,119.36,475.67,569.26,728.16,-3.88,-166.53,-481.97,59.16,55.85,0.12,173.6,753.69,52.2,-532.61,35.08,-555.24,4.73,-582.85,1648.31,599.96,-620.25
11,16,1,113.37,1079.85,61.71,3.24,1221,1209.47,794.24,626.5,457.78,118.79,476.57,568.49,727.79,-8.91,-170.58,-484.39,65.37,55.91,0.11,171.39,753.21,51.71,-534.87,34.63,-556.9,4.38,-583.07,1649.51,600.01,-621.74
12,17,1,122.44,1079.77,61.71,3.24,1225.89,1212.88,795.15,629.88,457.72,119.49,475.14,569.58,727.76,-1.33,-165.06,-482.82,70.74,55.94,0.11,171.88,752.64,51.66,-534,35.01,-556.41,4.61,-582.44,1657.33,600,-622.26
13,18,1,128.06,1079.84,61.71,3.24,1228.23,1215.25,795.83,651.44,457.58,120.32,474.04,570.25,727.94,3.41,-161.48,-481.42,70.57,55.95,0.11,172.47,753.75,51.64,-532.98,35.4,-555.65,4.82,-581.49,1649.93,588.35,-622.18
14,19,1,121.19,1080.23,61.71,3.24,1226.97,1213.26,795.34,657.76,458.09,119.82,475.65,570.23,728.24,-2.18,-165.54,-482.38,69.89,55.93,0.11,170.92,754.09,51.45,-533.22,35.48,-555.75,5.07,-581.24,1640.21,581.1,-622.01
15,20,1,115.49,1080.46,61.71,3.24,1226.97,1210.76,794.32,630.87,458.39,119.3,477.21,570.18,727.99,-7.02,-169.22,-483.96,68.75,55.89,0.11,171.34,754.01,51.26,-534.26,35.29,-556.64,4.41,-581.63,1637.93,579.99,-622.9
16,21,1,112.58,1079.87,61.72,3.24,1226.97,1210.15,793.7,626.59,458.7,119.3,477.7,569.91,728.09,-9.33,-170.89,-484.24,68.29,55.84,0.11,170.62,754.07,51.17,-534.54,34.91,-556.69,4.18,-581.7,1633.02,580.01,-622.61
17,22,1,116.58,1079.8,61.71,3.24,1226.97,1211.5,793.98,627.99,459.12,119.29,477.09,570.33,727.93,-5.92,-168.2,-482.79,67.26,55.78,0.11,172.71,754.03,51.27,-533.45,35.58,-556.3,4.71,-581.59,1634.6,580,-622.56
18,23,1,114,1080.64,61.7,3.24,1226.97,1210.36,793.51,626.58,459.98,119.29,477.59,570.31,727.99,-8.14,-169.77,-482.97,66.06,55.71,0.11,171.72,754,51.27,-533.31,35.88,-556.46,5.06,-582.03,1633.01,580,-622.66
